product_title,ordered_item_quantity,returned_item_quantity_abs,returned_item_rate
"6"" choc cake with choc bc rosettes",1,0,0
Charcuterie Platter,1,1,1
"10"" Salted Chocolate Tower Cake",1,0,0
4 Cherry and 2 Apple Danishes,1,0,0
medium rasp blk berry tart,1,0,0
6 CUPCakes 3 vanilla 3 chocolate,1,0,0
large raspberry fruit tart,1,0,0
Lemon Olive Oil Cake 1/2 Slab (12 Slices),1,0,0
Egg Salad sandwiches,1,0,0
"9"" banana cream pie",1,0,0
"6"" vanilla cake with van BC NO ROSETTES (flat all the way around and on top)",1,0,0
"8"" Raisin pie full top",1,0,0
"8"" Butterscotch pie",1,0,0
extra small tray,1,0,0
Lemon Poppyseed Loaf (for 8AM),1,0,0
Warm Beet Salad,1,0,0
carrot cake NO ICING,1,1,1
6 Chocolate cupcakes NO ICING,1,0,0
1/4 Slab Carrot Cake with No Raisins,1,0,0
6 Macarons Coconut marg,1,0,0
Apple Raisin Walnut loaf,1,0,0
"8"" cake",1,1,1
"8"" Jam Filled Cake with Choc cake instead of vanilla. Still Van BC",1,0,0
12 Slices of Carrot Cake (not sliced),1,0,0
"8"" white chocolate raspberry cheesecake",1,0,0
1/2 slab choc cake with choc bc inside..choc gnache outside,1,0,0
8 inch Vanilla ButterCake with Vanilla Buttercream decorated like raspbuttercream cake (smooth icing),1,1,1
6 Lemon PoppySeed,1,0,0
1/2 chocolate cake white buttercream,1,0,0
8' Chocolate Vegan Cake With Vanilla Vegan Frosting,1,0,0
"8"" Chocolate Cake with Vanilla Buttercream (with rosettes)",1,0,0
6 Mincemeat tarts,1,0,0
3 White Choc Cranberry Scones + 3 Pecan Citrus Scones,1,0,0
9” Lemon Meringue,1,0,0
half dozen dinner rolls,1,0,0
"6"" Confetti Cake with Chocolate Buttercream In and Out",1,1,1
Packaging for each cookie,1,0,0
(6)dark chocolate raspberry muffin,1,0,0
"8"" raisin pie",1,0,0
"8"" vanilla cake with Vanilla butter cream",1,0,0
"8"" lemon meringue pie with graham crust",1,0,0
"10"" Vanilla Cake Lemon Buttercream",1,0,0
"9"" Chocolate Cream Pie",1,0,0
1/4 slab chocolate buttercake with chocolate buttercream,1,0,0
"8"" vanilla cake  with vanilla bc",1,0,0
1/4 Slab Vanilla cake with choc bc,1,0,0
apple buttermilk muufins,1,0,0
"8"" carrot cake with no raisins",1,0,0
"6"" chocolate cake with raspberry BC",1,0,0
6 blueberry buttermilk muffins,1,0,0
250 Dinner Rolls,1,0,0
Coffee cake laoves,1,0,0
1/2 slab Raspberry Mouse Cake,1,0,0
"9"" chocolate cream pie",1,0,0
"6"" Vanilla Cake with Vanilla Buttercream (no rosettes)",1,0,0
Easter vanilla Cupcakes - Pack of 4,1,0,0
1/2 Slab Chocolate Mousse Cake,1,0,0
doz dinner rolls,1,0,0
"9"" Raspberry Pie (with crumble topping)",1,0,0
"8"" Pecan Pie",1,1,1
1L Butternut Squash Soup,1,0,0
2lb Mac and Cheese,1,0,0
Gift Card,1,0,0
9 inch LemonMeringue pie,1,0,0
6'chocolate buttercake plain,1,0,0
"8"" Raspberry Cranberry crumble pie",1,0,0
choc plaque (beside cake),1,0,0
Plaque,1,0,0
1 lb buttercream,1,0,0
"8"" chocolate buttercake with vanilla buttercream",1,0,0
Chocolate Disc,1,0,0
3  chocolate cupcakes,1,0,0
"8"" Vanilla cake w Raspberry BC layers and rosette design",1,0,0
Napkins for 150 people,1,0,0
6 cinnamon buns (not baked),1,0,0
"6""  Vanilla Buttercake with Raspberry Buttercream",1,0,0
"8"" chocolate cake raspberry buttercream",1,0,0
"8"" Basque",1,0,0
Gift card $25,1,0,0
6 cup plum pudding,1,0,0
Lg raspberry fruit tart,1,0,0
9” Vegan peach pie,1,0,0
chocolate mousse cake quater slab,1,0,0
"8"" Mincemeat Pie",1,0,0
"8"" Chocolate Tower Cake",1,0,0
"8"" Lemon meringue pie",1,0,0
Plain Cheesecake with Strawberries on top,1,0,0
6 Flourless Chocolate Cupcakes,1,0,0
Large Raspberry/Blackberry Baked Fruit Tart,1,0,0
"10"" vanilla bc plain with rainbow sprinkles outside",1,0,0
"6"" Vegan Chocolate cake with regular choc BC",1,0,0
3 apple caramel pecan 3 raspberry blackberry small baked fruit tart,1,0,0
Creamy Tomato Soup (20 L in big pail),1,0,0
3 vanilla + 3 chocolate flourless cupcakes,1,0,0
"6"" Raspberry Buttercream Rosette Cake",1,0,0
"10"" basque cheesecake",1,1,1
300 mini gingers,1,0,0
6 flourless blueberry almond muffins,1,0,0
full slab choc vegan cake,1,0,0
large raspberry blk berry tart,1,0,0
"8"" Vanilla Rosette Cake - Gender Reveal, pink inside",1,0,0
"6"" vanilla vegan cake with choc vegan icing in and out",1,0,0
20 Chocolate cupcakes with vanilla icing,1,0,0
"10"" choc rasp mousse cake",1,0,0
1/2 slab chocolate cake with cream cheese icing,1,1,1
"8"" Raisin pie (regular top)",1,0,0
"8"" choc cake w choc rosette icing",1,1,1
"6"" Black Forest Cake",1,0,0
2lbs Hazelnut Buttercream,1,0,0
Large rhubarb baked fruit tart,1,0,0
"6"" Chocolate Cake with Raspberry buttercream interior, Vanilla Rosette exterior",1,0,0
1/4 slab chocolate cake choc bc in and van bc rosettes out,1,0,0
Take & Bake Strawberry Rhubarb Crisp - Baked,1,0,0
150 Oatmeal Raisin Cookies,1,0,0
Remaining balance,1,0,0
1/2 lb Fruitcake,1,0,0
14 GIngerbread Cookies with Names,1,0,0
1/2 slab vanilla bc,1,0,0
"6"" Carrot Cake with NO RAISINS",1,0,0
"8"" vanilla bc with vanilla buttercream..plain",1,0,0
rye sourdoug reg slice,1,0,0
"8"" Chocolate Cake with Vanilla BC (not rosettes)",1,0,0
"8"" Vanilla Cake with Vanilla Buttercream (no rosettes)",1,0,0
"10"" Lemon Layered Cake",1,0,0
Chocolate cream pie,1,0,0
3 chocolate Cupcakes + 3 Vanilla Cupcakes,1,0,0
4 Easter Cupcake GLUTEN FREE,1,0,0
3 vanilla 3 chocolate flourless cupcakes,1,0,0
2 individual Plain Croissants,1,1,1
"8"" carrot cake  ***NO raisins",1,0,0
50 squares cut in 1/2 (100 pieces) on trays,1,0,0
Extra Jam in Cake,1,1,1
1/2 Slab Raspberry Mousse Cake,1,0,0
"10"" Chocolate with Raspberry Buttercream",1,0,0
"8"" choc cake rasp buttercream",1,0,0
"6"" Chocolate Peanut Butter FLOURLESS Cake",1,0,0
1 dozen Devilled Eggs,1,0,0
vanilla buttercake with lemon frosting,1,1,1
new years dinner,1,0,0
apple Raisin walnut loaf,1,0,0
Small 10% Cream,1,0,0
"8"" Vegan choc cake *vanilla icing in & out",1,0,0
"8"" raspberry coconut lime",1,0,0
Sandwich Platter Large,1,0,0
Remaining balance for order #30315,1,0,0
6 small cookies,1,0,0
Maritime Bread,1,0,0
Lemon Ginger Scones,1,0,0
Non-Refundable Space Reservation Deposit,1,0,0
"8"" cocolate buttercake with vanilla bc",1,0,0
Med Apple Pecan Fruit Tart,1,0,0
Lucky Irish Cake,1,0,0
"8” Vanilla cake with Van BC on outside, Choc BC on inside",1,0,0
"10"" chocolate bc with choc bc",1,0,0
baugett,1,1,1
"10"" vanilla bc with vanilla rosette",1,0,0
2 dozen dinner rolls,1,0,0
1/4 slab Vanilla Buttercake with Raspberry Buttercream,1,0,0
"10"" Vanilla Buttercake Rosette Design",1,0,0
"4 Snowman, 4 Boots and 4 Stars Shortbread Cookies",1,0,0
6 cherry danish,1,0,0
Apple raisin walnut loaf,1,0,0
large blueberry baked fruit tart,1,1,1
6 van cc with rasp bc,1,0,0
"8"" Vanilla cake with lemon icing",1,0,0
"8"" Maple Pecan Pie",1,0,0
"8"" Carrot Cake - NO RAISINS",1,0,0
mini plain scone,1,0,0
4 chocolate cupcakes 2 vanila cupcakes,1,0,0
"8"" chocolate cake with raspberry bc",1,0,0
"Ham Brie Broccoli 9""",1,1,1
Vegan Muffins (6),1,0,0
"Breakfast pastries (muffins, scones, croissant, etc.) left from Wednesday for 10 people",1,0,0
6 Chocolate cupcakes with rasp BC,1,0,0
"8"" butterscotch pie",1,0,0
3 Vegan Vanilla + 3 Vegan Chocolate Cupcakes,1,0,0
8'' Lemon Mergeine,1,0,0
Ramaining charge for the slab cake,1,0,0
large bluberry baked tart,1,0,0
"8"" Chocolate cake, Raspberry bc inside chocolate outside",1,0,0
3 Raspberry buttermilk 2 carrot ginger pecan 1 blueberry cranberry bran,1,0,0
Chocolate buttercake with raspberry buttercream,1,1,1
"banana cream pie 8""",1,0,0
Assorted Baking,1,0,0
Dinner rolls - Dozen,1,0,0
6” Chocolate butter cake with vanilla rosette icing,1,0,0
3 Vanilla cupcakes w/vanilla icing,1,0,0
6 Pineapple & Coconut Muffins,1,0,0
Choc Disc,1,0,0
Gift Card for $50,1,0,0
Chocolate Mousse Cake - 1/4 slab,1,0,0
"10"" vanilla butter cake with vanilla rosette",1,0,0
Carrot Cake 1/4 slab (very few raisins),1,1,1
4 Bagels - Plain (no onions),1,0,0
"5"" Rhubarb Crisp (Gluten Wise)",1,0,0
"6 Muffins - 2 Banana, 2 Carrot, 2 Bran",1,0,0
assorted appetizer box,1,0,0
caesar salad,1,0,0
Buttered Rum Sauce 500 mL,1,0,0
6 large cookies,1,0,0
6 Napoleons,1,1,1
"8"" bluberry white choc cheesecake ** with graham cracker crust",1,0,0
6 iced shortbread,1,0,0
"10"" Raspberry Mousse Cake",1,0,0
3 white chocolate cranberry 3 raisin scones,1,0,0
new years dinner for 2,1,0,0
Ceasar Salad,1,0,0
"6"" chocolate chhesecake",1,0,0
Lg apple fruit tart,1,0,0
"6"" Vanilla BC double height no rosettes",1,0,0
"6"" vanilla buttercream cake (no rosettes)",1,1,1
cherry danish,1,0,0
Apple Caramel Pecan Medium Baked Fruit Tart,1,0,0
"Large Crudite Platter - NO BROCCOLI, NO CAULIFLOWER",1,0,0
chocolate plaque,1,0,0
"8"" Pear Apple Cranberry Crumble Pie",1,0,0
Donate 25 Baked Goods,1,0,0
"3 Peanut Butter Hello Dollies, added to square tray",1,0,0
"1/4 slab vanilla cake with bbc, decorated like raspberry buttercream",1,1,1
"6"" Chocolate cake with Raspberry BC",1,0,0
"8"" quiche lorraine - no onion",1,1,1
"8"" Vanilla Cake with Chocolate BC",1,0,0
6 Sprinkle Heart Cookies,1,0,0
1/4 slab chocolate cake with vanilla bc (rosette design),1,0,0
Dog treats - Wendy will make,1,0,0
Fresh fruit on top of cheesecake,1,0,0
"6"" Pumpkin Cheesecake",1,0,0
(6) Date Cookie,1,0,0
"8"" Vanilla Cake with Vanilla Buttercream",1,0,0
Large Raspberry Blackberry Tart,1,0,0
"8"" Chocolate Cheesecake",1,0,0
"8"" Carrot Cake NO RAISINS",1,0,0
Slice of carrot cake ($9.50),1,0,0
6 Cheddar and Herbs Scones,1,0,0
500 ml potato leek soup,1,0,0
150 Ginger Molasses Cookies,1,0,0
"6"" Plain Chocolate Cake (Not decorated)",1,0,0
Maritime (from day before is okay),1,0,0
"6"" Cheesecake with Fresh Fruit",1,0,0
6 Specialty Chocolate Cupcakes with fondant,1,0,0
"6"" Triffle Cake w/whipped cream",1,0,0
"9"" raspberry custard pie",1,0,0
"10"" rasp mousse cake",1,0,0
6 Bagels - Plain (no salt added),1,1,1
cupcake x 6 vanilla with rasp bc,1,0,0
Ceaser Salad,1,0,0
12 Speciality Cupcakes Halloween,1,1,1
"6"" flourless chocolate cake",1,0,0
Citrus Pound Cake,1,0,0
Medium Blackberry/Raspberry Tart,1,0,0
"8"" Vanilla cake with VBC decorated like a rasp bc",1,0,0
date nut bran,1,0,0
"8"" Chocolate Cream pie",1,0,0
"6"" vanilla buttercake with chocolate buttercream frosting",1,0,0
"1 lemon, 1 chocolate, 1 chocolate raspberry, 1 date squares",1,0,0
Easter Cupcakes - 30 cupcakes,1,0,0
1/2 Slab Chocolate Cake with Vanilla Buttercream,1,0,0
Summer berry salads,1,0,0
"9"" pear apple cran",1,0,0
Taxes,1,0,0
"6"" vanilla cake with lemon buttercream",1,0,0
1/4 slab vanilla cake with raspberry buttercream,1,0,0
"10"" Vanilla Buttercake (Rosettes)",1,0,0
"6"" plain cheesecake with fresh fruit",1,0,0
6 choc cupcakes with 3 rasp and 3 vanilla bc,1,1,1
Chocolate Buttercake with Raspberry Buttercream,1,0,0
"10"" Chocolate Cake With Vanilla BC (Decorated like a Choc BC)",1,0,0
"8"" chocolate bc with VANILLA bc in/out",1,0,0
"6"" vanilla buttercream, no rosettes, decorated like rasp buttercream cake",1,0,0
Gluten free vanilla cupcakes valentine decoration,1,0,0
Assorted Scone Collection - 1 Dozen,1,0,0
"8"" chocolate buttercake with raspberry buttercream",1,0,0
Raspberry jam inside cake,1,0,0
"8"" Vanilla Cake with Raspberry Buttercream Rosettes",1,0,0
"8"" Chocolate Cake RBC in and out",1,0,0
"50 shortbread cookies (xmas tree, no icing)",1,0,0
"8"" vanilla buttercream cake",1,0,0
1 Mixed Greens Salad Bowl,1,0,0
baked raspberry fruit tart,1,1,1
"8"" choclate cream pie",1,0,0
"8"" Vanilla Buttercake with Chocolate Buttercream",1,0,0
6 Flourless bagels,1,0,0
Lemon Layer Cake - Full Slab 130.00,1,0,0
200 Small Cookies on Trays (not bagged),1,0,0
3 Vanilla and 3 Chocolate Cupcakes,1,0,0
1/2 slab Jam-filled layer cake (with rosette decoration),1,0,0
3 chocolate cupcakes,1,0,0
1/2 slab chocolate mousse cake,1,0,0
"6"" vanilla cake (blue) inside gender reveal",1,0,0
50 Ginger Molasses Cookies,1,0,0
3 vanilla cupcakes + 3 chocolate cupcakes,1,0,0
9 chocolate cream pie,1,1,1
"10"" Vanilla Rosette Buttercake",1,0,0
"8"" Chocolate Buttercake with Chocolate Icing and Rosette Decoration",1,0,0
"6"" Vegan Chocolate Cake with Vegan Vanilla Icing",1,0,0
Dinner Rolls - Dozen,1,0,0
20 vanilla cupcakes with vanilla icing,1,0,0
med rhubarb baked fruit tart,1,0,0
"8"" tsf quiche ( no pepper)",1,0,0
1/2 slab lemon buttercream cake,1,0,0
"6"" vanilla cake with Rasp in/out- rosette outside",1,0,0
1/4 Slab Vanilla with Raspberry Buttercream,1,0,0
"8"" Chocolate Cake with Vanilla Buttercream Rosettes",1,0,0
Plates & Napkins (for 10 people),1,0,0
"8"" quiche lorraine( no pepper)",1,0,0
1/2 Slab Choc BC with Van BC,1,0,0
Coleslaw,1,0,0
"6"" Choc Cake - Rasp BC In/Choc Out",1,0,0
"6"" Chocolate Tower Cake (same cake as buttercake)",1,0,0
"6"" Vegan Vanilla with Rosettes (Dairy Allergy)",1,0,0
Medium Blackberry Raspberry Tart,1,0,0
3 vanilla cupcakes plus 3 choc cupcakes,1,0,0
"10"" choco bc with choc bc",1,0,0
"8"" Rhubarb Custard Pie",1,0,0
6 Pumpkin Raisin Squares,1,0,0
"8"" chocolate bc with choc rosette design",1,0,0
"10"" rasp mousse",1,0,0
"8"" chocolate cake jam filled cake",1,0,0
chickpea sandwich,1,0,0
Small Fruit Platter - NO CANTALOUPE,1,0,0
1/2 Slab Carrot Cake,1,0,0
"10"" Vanilla Buttercream Rosette",1,0,0
Large peach baked fruit tart,1,0,0
"6"" blueberry white choc cheesecake",1,0,0
cornbread loaf,1,0,0
6 vegan cupcakes ( 3 vanilla with vanilla& 3 choc with choc),1,0,0
"10"" chocolate buttercake with choc bc",1,0,0
"chocolate gluten free 6""",1,0,0
butterrum sauce,1,0,0
6 Iced Shortbread (#1 Dad),1,0,0
"6"" Plain Cheesecake with fruit topping",1,0,0
"9"" Mincemeat Pie",1,0,0
Donate 25-30 Day Old Pieces,1,0,0
large fruit tart apple caramel,1,0,0
"10"" Vanilla Cake with Vanilla Buttercream",1,0,0
banana cream pie,1,0,0
"10"" Vanilla Nude Cake",1,0,0
"9"" Strawberry Rhubarb crumble",1,0,0
"5"" Raspberry Rhubarb Pie",1,1,1
"chocolate cake, vanilla icing",1,0,0
trial,1,0,0
"12"" Catering Tray",1,0,0
Rye Sourdough- unsliced,1,1,1
10 ' vanilla buttercake with rosette,1,0,0
Lemon Layer Cake - 1/2 slab,1,0,0
"6"" Chocolate buttercream cake with strawberries on top",1,1,1
"8"" Vanilla cake with van bc in and Raspberry bc Rosette Desgin",1,0,0
6 van cc with 3 van and 3 rasp bc,1,0,0
lg broccoli and cranberry salad,1,0,0
"8"" plain cheesecake with just strawberries on top",1,0,0
6 Vegan Vanilla Cupcakes with 3 Vanilla and 3 Chocolate bc,1,0,0
Maple Syrup Golden,1,0,0
Coffee Loaf,1,0,0
Small Chicken Pot Pie - Puree,1,0,0
"8"" vanilla buttercream",1,0,0
8'raisin pie,1,0,0
Raspberry Blackberry / Medium - Baked FruitTart,1,0,0
"10"" Chocolate Tower Salted",1,0,0
"6"" Plain Cheesecake with fresh Strawberries on top",1,0,0
Lg blueberry fruit tart,1,0,0
Chocolate Mousse Half Slab,1,0,0
Grad - cookie cake,1,0,0
500ml rum sauce,1,0,0
6 inch plain cheesecake,1,0,0
mixed green salad,1,0,0
6 bran muffins plain,1,0,0
Unisex Cotton T-Shirt,1,0,0
Gratuity,1,0,0
Crosscut,1,0,0
"8"" Eggnog Cheesecake",1,0,0
20 Small fruit tarts,1,0,0
1/4 Slab Vehan Vanilla Cake with Vegan Vanilla Icing,1,0,0
MIncemeat Tarts - 6,1,0,0
"6"" VEgan Vanilla Cake - see notes",1,1,1
9'banana cream pie,1,0,0
"8"" Chocolate Cake with no raisins",1,1,1
"8"" Vanilla cake with Lemon Buttercream",1,0,0
"6"" vanilla cake vbc",1,0,0
"8"" Chocolate Cake with Raspberry Buttercream Rosettes",1,0,0
6 Vanilla Cupcakes NO ICING,1,0,0
"5"" Quiche Lorraine",1,0,0
"6"" Rhubarb Cheesecake",1,0,0
chocolate peanut butter cheescake,1,1,1
3 Banana Chocolate Chunk + 3 Apple Buttermillk MUFFINS,1,0,0
1/4 slab chocolate butter cake with raspberry buttercream frosting,1,0,0
"10"" Chocolate Raspberry Mousse Cake",1,0,0
Chocolate plaque for writing,1,0,0
"10"" Vanilla Raspberry Buttercream Cake",1,0,0
Breakfast Pastry Selection (Large) - 7:30AM PICK UP,1,0,0
"6"" chocolate cake with VBC (like a choc bc)",1,0,0
"8"" Vanilla Buttercake",1,0,0
6 Date FIlled Oatmeal Cookie,1,0,0
9 inch lemon meringue,1,0,0
flourless bagels x 6,1,0,0
gift card,1,1,1
6 butter tarts ( 3 plain 3pecan),1,0,0
1/4 slab vanilla raspberry,1,0,0
Mixed Greens Salad,1,0,0
"6"" salted caramel cake (NO SALT)",1,0,0
5 Course Dinner for 2,1,1,1
150 Peanut Butter Cookies,1,0,0
1/4 Slab Bailey’s and Coffee Cakr,1,0,0
blueberry lemon load,1,1,1
vanilla buttercake with lemon buttercream quater slab,1,0,0
1/2 slab Vanilla Buttercake,1,0,0
Will you be my valentine treat box,1,0,0
8 inch cherry topped cheese cake,1,0,0
Rye Sourdough - Sliced Regular,1,0,0
Women Slim Fit T-Shirt,1,0,0
Shipping - Purolator,1,0,0
Guinness ginger cake (wrapped in plastic),1,0,0
3 lemon ginger scones and 3 citrus pecan scone,1,0,0
"5"" Chocolate Cream Pie",1,0,0
packaging,1,0,0
1/4 lemon layer cake,1,0,0
6 Date Oatmeal Cookies,1,0,0
6 Vanilla cupcakes with Chocolate bc,1,0,0
Rossette decoration,1,0,0
"6"" plain cheesecake (fresh blueberries only)",1,0,0
1/2 slab Chocolate buttercake with Vanilla icing,1,0,0
1/2 Slab Chocolate Raspberry cake w/ Cream Cheese Icing,1,0,0
"10"" Chocolate Tower Salted 10"" Chocolate Tower Salted",1,0,0
6 cheese danish,1,0,0
"3 chocolate chunk, 3 peanut butter cookies",1,0,0
6 Assorted scones,1,0,0
"8"" Chocolate cake (just cake itself)",1,0,0
1/4 Slab Chocolate Raspberry Mousse Cake,1,0,0
1/4 slab Chocolate Raspberry Mousse Cake,1,0,0
10 serves - chocolate mousse cake,1,0,0
"vegan vanilla 6""",1,0,0
"""8 Confetti Cake with Chocolate Buttercream Exterior",1,0,0
1 Vanilla Cupcake (individual) w/vanilla buttercream,1,0,0
1/2 slab vanilla cake with vegan vanilla b.c,1,0,0
Lemon curd 250mL,1,0,0
new year dinner for 2,1,0,0
Individual wrapping (24),1,0,0
Lemon Layer Cake 1/4 slab,1,0,0
choc cupcake with rasp bc,1,0,0
1/2 Slab Vanilla Cake with Lemon Buttercream,1,0,0
Chocolate buttercake with Raspberry Buttercream,1,1,1
3 plain/3 raisin buttertarts,1,0,0
sourdough - regular sliced,1,0,0
24 Pretzels,1,0,0
"8"" Raisin pie (reg full pie top)",1,0,0
"8"" Strawberry Custard Pie (like the cream pie)",1,0,0
1/4 Slab Vanilla Rosettes with Chocolate Buttercake Interior,1,0,0
rye soudough,1,0,0
12 Bagels,1,0,0
Large Raspberry Fruit Tart,1,0,0
white chocolate blueberry loaf,1,0,0
Gingerbread men no icing,1,1,1
"10"" Vanilla Cake with Lemon Buttercream",1,0,0
chocolate cake with raspberry buttercream,1,0,0
"8"" plain cheescake with fresh fruit",1,0,0
Raspberry jam filling in cake,1,0,0
Raspberry Blackberry / Large - Baked FruitTart,1,0,0
Lemon Meringue QUARTER INCH MERINGUE (very minimal merginue),1,1,1
6 Raspberry Dark Chocolate Muffins,1,0,0
"8"" vegan chocolate cake with vegan vanilla icing",1,0,0
1 Classic Ceasar Salad Bowl,1,0,0
6 vegan cupcakes (3 vanilla + 3 chocolate),1,0,0
"9"" Strawberry Rhubarb Pie",1,0,0
Gift Card $40,1,0,0
6 x portugese tarrts,1,0,0
"50 shortbread cookies (snowman, no icing)",1,0,0
Cookie Tray - 2 Dozen- Individually Wrapped,1,0,0
"8"" Vanilla cake with Chocolate BC",1,0,0
Caesar salad,1,0,0
"6 chocolate cupcakes (4 choc bc, 2 van bc)",1,0,0
order,1,0,0
"8"" plain white chocolate cheesecake",1,0,0
1/2 Slab Van Cake with Van Buttercream,1,0,0
easter themed decorations,1,0,0
apple caramel baked fruit tart,1,0,0
"8"" Peanut butter cream pie",1,0,0
6 Everything Bagels,1,0,0
large apple caramel baked tart,1,1,1
1/2 slab lemon layer cake,1,0,0
Ludwig Chocolate,1,0,0
"8"" vanilla with vanilla",1,0,0
6 vanilla cupcakes with 3 rasp and 3 vanilla bc,1,1,1
"8"" Raspberry Crumble Pie",1,0,0
Cornbread,1,0,0
"6"" Blackforest cake",1,0,0
6 Apple Buttermilk Muffins,1,0,0
"10"" Vanilla Cake with Rasp BC inside, Van outside (no rosettes)",1,0,0
holiday baking box,1,0,0
Add customer's card in the order,1,0,0
"cream cheese frosting, chocolate cake inside",1,1,1
"5"" Raisin pie full top",1,0,0
"8"" chocolate cake with chocolate bc on the outside with raspberry bc between layers",1,0,0
"10"" Vanilla Buttercake Rosette Design stacked 1.5",1,0,0
"8"" raspberry rosette design vanilla buttercake",1,0,0
1/4 slab lemon layer cake,1,0,0
rye sd reg slices,1,1,1
Fish Pie,1,0,0
Raspberry Mousse Cake 1/4 Slab Serves 15-20,1,0,0
chocolate milk,1,0,0
"8"" Raspberry Rhubarb Pie",1,0,0
"vegan vanilla cupcakes, half chocolate frosting half vanilla frosting",1,0,0
6 Cupcakes 3 van 3 choc,1,0,0
Caramelized Onion & Gruyere Tarts - 1dz,1,0,0
Take & Bake  Strawberry Rhubarb Crisp - Baked,1,0,0
"6"" Van cake with RBC Rosettes",1,0,0
1/2 Slab Van BC with Van BC,1,0,0
6 Date Nut Oat Scones,1,0,0
6 Sprinkle shortbread,1,0,0
"6"" vanilla, dressed like chocolate",1,0,0
Raspberry Coconut Lime,1,0,0
1/4 Chocolate Mousse Cake,1,0,0
1/4 slab chocolate raspberry mousse cake,1,0,0
"9"" Raisin Pie with Lattice",1,0,0
Flourless Chocolate Espresso Torte,1,0,0
6 Vegan Vanilla Cupcakes,1,0,0
"8"" chocolate rosette with chocolate buttercake interior",1,0,0
"8"" chocolate cake with vanilla bc rosettes",1,0,0
"6"" Chocolate Buttercream Rosette Cake",1,0,0
Genuine Tea,1,0,0
"8"" Raisin Lattice Top",1,0,0
4 pkg potato buns,0,0,0
"1/4 slab ream cheese frosting, chocolate buttercake, jam layers",0,0,0
72 mini macarons,0,0,0
Cakeboard (1/4 slab),0,0,0
6 Buttertart Squares (Gluten free) - 8am pickup,0,0,0
Assorted Squares,0,0,0
9 Shortbread Cookies (Tree shape),0,1,0
"6"" Caramel Chocolate Chunk Cheesecake - A little well done",0,0,0
Hummus 500ml,0,0,0
"6"" Vanilla Cake with Vanilla BC (no rosettes), Rasp BC on inside",0,0,0
Delivery Extra,0,0,0
Specialty Cupcake Difference (for chocolate letters),0,13,0
vegan chickpea ( lactouse /dairy free),0,0,0
Spiced carrot ginger soup,0,0,0
1dz Linzer cookies,0,0,0
Baked Fruit Tart - Rhubarb - Medium,0,0,0
Logo on cake price (per cake),0,0,0
caramel chocolate cheese cake 8 inch,0,0,0
6 Macarons (4 raspberry + 2 chocolate),0,0,0
"8"" Chocolate Buttercream with Raspberry Buttercream",0,0,0
"cream cheese frosting, chocolate buttercake, jam layers",0,1,0
,0,0,0
4 Apple Danishes,0,0,0
"6"" Carrot Cake - NO RAISINS",0,0,0
"9"" Pecan  Pie",0,0,0
Garden Salad,0,0,0
9 Shortbread Cookies (Bell shape),0,1,0
Local Delivery,0,0,0
9 Shortbread Cookies (Snowman shape),0,1,0
Mini carrot cake loaf with cream cheese icing,0,0,0
6 Linzer cookies,0,0,0
15 Vanilla Cupcakes,0,0,0
"6"" vanilla cake with vanilla rosettes and salted caramel layer interior",0,0,0
12 individual bags,0,0,0
Rye Sourdough-sliced,0,0,0
"8"" Carrot cake NO ICING",0,0,0
(2) Buttertarts,0,0,0
"8"" Lemon Meringue QUARTER INCH MERINGUE (very minimal merginue)",0,0,0
6 Gluten Free Muffins - 8am pickup,0,0,0
Linzer Cookies dozen,0,0,0
Apple Raisin Walnut Loave (no sugar on top),0,0,0
buttermilk biscuit with butter and jam,0,0,0
Coffee Cake Loaf,0,0,0
individually boxed cupcakes,0,0,0
"8"" Vanilla cake with raspberry rosette design",0,0,0
"6"" carrot cake - NUT ALLERGY",0,0,0
Remaining balance for cake (Wrong price),0,0,0
Sandwich Platter (all vegan)- Small,0,0,0
"6 Squares - 2 Brownie, 2 Lemon, 2 Rasp",0,0,0
Baked Fruit Tart - Rhubarb,0,1,0
"8"" Chocolate buttercake with Jam in Layers",0,0,0
$100 Gift Card,0,0,0
"6"" Carrot cake NO RAISINS",0,0,0
6 Macarons - 3 Choc and 3 Rasp,0,0,0
Breakfast Pastry Selection - 8 am pickup,0,0,0
"8"" vanilla bc with raspberry inside vanilla out",0,0,0
"10"" Vanilla Buttercake with Chocolate Icing inside and vanilla icing outside.",0,0,0
6 gingerbread men NO icing,0,0,0
"8"" Vanilla buttercake with lemon BC",0,0,0
small salad - Potato or pasta,0,0,0
Large Baked Fruit Tart Raspberry Blackberry,0,0,0
Sandwich tray Small- all Vegan,0,0,0
"10"" choc peanut butter cheescake",0,0,0
1 dozen linzer cookies,0,0,0
"2 large Broccoli, Cranberry and Almond Salad (inside a 1L container)",0,0,0
"5"" broccoli cheddar quiche",0,0,0
6 Raspberry Muffins - No crumble on top of muffins,0,0,0
"24 Piece Square Tray (cut each of the pieces in half, so 48 pieces in total)",0,4,0
White Mountain Brownie Cobbler Sheets,0,0,0
Vanilla buttercake with vanilla buttercream,0,0,0
choc plaque,0,0,0
Large Caramel Apple Tart,0,0,0
"Carrot Cake 1/4 slab (no raisins, no nuts)",0,0,0
"10"" chocolate cake with vanilla bc (rosette design)",0,1,0
15 Chocolate Cupcakes,0,0,0
"8"" pumpkin",0,0,0
1/4 Slab Vanilla Cake with Chocolate Buttercream,0,0,0
